200,50,0.019
200,100,0.038
200,200,0.064
200,300,0.089
400,100,0.108
400,300,0.286
400,500,0.462
400,1000,0.854
800,100,0.364
800,300,0.965
800,500,1.486
800,1000,2.777
800,2000,5.360
2000,100,1.786
2000,300,5.000
2000,500,8.145
2000,1000,16.149
2000,2000,32.142
3500,100,5.071
3500,300,14.912
3500,500,24.585
3500,1000,49.286
3500,2000,98.351
