   1.000    1.000    0.000
   1.000    2.000    0.000
   1.000    3.000    0.001
   1.000    4.000    0.001
   1.000    5.000    0.001
   1.000    6.000    0.001
   1.000    7.000    0.002
   1.000    8.000    0.002
   1.000    9.000    0.002
   1.000   10.000    0.002
   1.000   11.000    0.003
   1.000   12.000    0.003
   1.000   13.000    0.003
   1.000   14.000    0.003
   1.000   15.000    0.004
   1.000   16.000    0.004
   1.000   17.000    0.004
   1.000   18.000    0.005
   1.000   19.000    0.005
   1.000   20.000    0.005
   1.000   21.000    0.005
   1.000   22.000    0.006
   1.000   23.000    0.006
   1.000   24.000    0.006
   1.000   25.000    0.007
   1.000   26.000    0.007
   1.000   27.000    0.007
   1.000   28.000    0.008
   1.000   29.000    0.008
   1.000   30.000    0.008
   1.000   31.000    0.009
   1.000   32.000    0.009
   1.000   33.000    0.009
   1.000   34.000    0.010
   1.000   35.000    0.010
   1.000   36.000    0.010
   1.000   37.000    0.010
   1.000   38.000    0.011
   1.000   39.000    0.011
   1.000   40.000    0.011
   1.000   41.000    0.011
   1.000   42.000    0.012
   1.000   43.000    0.012
   1.000   44.000    0.012
   1.000   45.000    0.012
   1.000   46.000    0.012
   1.000   47.000    0.012
   1.000   48.000    0.013
   1.000   49.000    0.013
   1.000   50.000    0.013
   2.000    1.000    0.000
   2.000    2.000    0.001
   2.000    3.000    0.001
   2.000    4.000    0.002
   2.000    5.000    0.002
   2.000    6.000    0.003
   2.000    7.000    0.003
   2.000    8.000    0.004
   2.000    9.000    0.004
   2.000   10.000    0.005
   2.000   11.000    0.005
   2.000   12.000    0.006
   2.000   13.000    0.006
   2.000   14.000    0.007
   2.000   15.000    0.007
   2.000   16.000    0.008
   2.000   17.000    0.009
   2.000   18.000    0.009
   2.000   19.000    0.010
   2.000   20.000    0.010
   2.000   21.000    0.011
   2.000   22.000    0.012
   2.000   23.000    0.012
   2.000   24.000    0.013
   2.000   25.000    0.013
   2.000   26.000    0.014
   2.000   27.000    0.015
   2.000   28.000    0.015
   2.000   29.000    0.016
   2.000   30.000    0.017
   2.000   31.000    0.017
   2.000   32.000    0.018
   2.000   33.000    0.018
   2.000   34.000    0.019
   2.000   35.000    0.020
   2.000   36.000    0.020
   2.000   37.000    0.021
   2.000   38.000    0.021
   2.000   39.000    0.022
   2.000   40.000    0.022
   2.000   41.000    0.023
   2.000   42.000    0.023
   2.000   43.000    0.024
   2.000   44.000    0.024
   2.000   45.000    0.024
   2.000   46.000    0.025
   2.000   47.000    0.025
   2.000   48.000    0.025
   2.000   49.000    0.025
   2.000   50.000    0.025
   3.000    1.000    0.001
   3.000    2.000    0.001
   3.000    3.000    0.002
   3.000    4.000    0.003
   3.000    5.000    0.004
   3.000    6.000    0.004
   3.000    7.000    0.005
   3.000    8.000    0.006
   3.000    9.000    0.007
   3.000   10.000    0.007
   3.000   11.000    0.008
   3.000   12.000    0.009
   3.000   13.000    0.010
   3.000   14.000    0.010
   3.000   15.000    0.011
   3.000   16.000    0.012
   3.000   17.000    0.013
   3.000   18.000    0.014
   3.000   19.000    0.015
   3.000   20.000    0.016
   3.000   21.000    0.016
   3.000   22.000    0.017
   3.000   23.000    0.018
   3.000   24.000    0.019
   3.000   25.000    0.020
   3.000   26.000    0.021
   3.000   27.000    0.022
   3.000   28.000    0.023
   3.000   29.000    0.024
   3.000   30.000    0.025
   3.000   31.000    0.026
   3.000   32.000    0.027
   3.000   33.000    0.028
   3.000   34.000    0.029
   3.000   35.000    0.029
   3.000   36.000    0.030
   3.000   37.000    0.031
   3.000   38.000    0.032
   3.000   39.000    0.033
   3.000   40.000    0.033
   3.000   41.000    0.034
   3.000   42.000    0.035
   3.000   43.000    0.035
   3.000   44.000    0.036
   3.000   45.000    0.036
   3.000   46.000    0.037
   3.000   47.000    0.037
   3.000   48.000    0.038
   3.000   49.000    0.038
   3.000   50.000    0.038
   4.000    1.000    0.001
   4.000    2.000    0.002
   4.000    3.000    0.003
   4.000    4.000    0.004
   4.000    5.000    0.005
   4.000    6.000    0.006
   4.000    7.000    0.007
   4.000    8.000    0.008
   4.000    9.000    0.009
   4.000   10.000    0.010
   4.000   11.000    0.011
   4.000   12.000    0.012
   4.000   13.000    0.013
   4.000   14.000    0.014
   4.000   15.000    0.015
   4.000   16.000    0.016
   4.000   17.000    0.017
   4.000   18.000    0.018
   4.000   19.000    0.019
   4.000   20.000    0.021
   4.000   21.000    0.022
   4.000   22.000    0.023
   4.000   23.000    0.024
   4.000   24.000    0.026
   4.000   25.000    0.027
   4.000   26.000    0.028
   4.000   27.000    0.029
   4.000   28.000    0.031
   4.000   29.000    0.032
   4.000   30.000    0.033
   4.000   31.000    0.034
   4.000   32.000    0.036
   4.000   33.000    0.037
   4.000   34.000    0.038
   4.000   35.000    0.039
   4.000   36.000    0.041
   4.000   37.000    0.042
   4.000   38.000    0.043
   4.000   39.000    0.044
   4.000   40.000    0.045
   4.000   41.000    0.046
   4.000   42.000    0.047
   4.000   43.000    0.047
   4.000   44.000    0.048
   4.000   45.000    0.049
   4.000   46.000    0.049
   4.000   47.000    0.050
   4.000   48.000    0.050
   4.000   49.000    0.051
   4.000   50.000    0.051
   5.000    1.000    0.001
   5.000    2.000    0.002
   5.000    3.000    0.004
   5.000    4.000    0.005
   5.000    5.000    0.006
   5.000    6.000    0.007
   5.000    7.000    0.008
   5.000    8.000    0.010
   5.000    9.000    0.011
   5.000   10.000    0.012
   5.000   11.000    0.013
   5.000   12.000    0.015
   5.000   13.000    0.016
   5.000   14.000    0.017
   5.000   15.000    0.019
   5.000   16.000    0.020
   5.000   17.000    0.021
   5.000   18.000    0.023
   5.000   19.000    0.024
   5.000   20.000    0.026
   5.000   21.000    0.027
   5.000   22.000    0.029
   5.000   23.000    0.030
   5.000   24.000    0.032
   5.000   25.000    0.034
   5.000   26.000    0.035
   5.000   27.000    0.037
   5.000   28.000    0.038
   5.000   29.000    0.040
   5.000   30.000    0.042
   5.000   31.000    0.043
   5.000   32.000    0.045
   5.000   33.000    0.046
   5.000   34.000    0.048
   5.000   35.000    0.049
   5.000   36.000    0.051
   5.000   37.000    0.052
   5.000   38.000    0.054
   5.000   39.000    0.055
   5.000   40.000    0.056
   5.000   41.000    0.057
   5.000   42.000    0.058
   5.000   43.000    0.059
   5.000   44.000    0.060
   5.000   45.000    0.061
   5.000   46.000    0.062
   5.000   47.000    0.063
   5.000   48.000    0.063
   5.000   49.000    0.064
   5.000   50.000    0.064
   6.000    1.000    0.001
   6.000    2.000    0.003
   6.000    3.000    0.004
   6.000    4.000    0.006
   6.000    5.000    0.007
   6.000    6.000    0.009
   6.000    7.000    0.010
   6.000    8.000    0.012
   6.000    9.000    0.013
   6.000   10.000    0.015
   6.000   11.000    0.016
   6.000   12.000    0.018
   6.000   13.000    0.019
   6.000   14.000    0.021
   6.000   15.000    0.022
   6.000   16.000    0.024
   6.000   17.000    0.026
   6.000   18.000    0.027
   6.000   19.000    0.029
   6.000   20.000    0.031
   6.000   21.000    0.033
   6.000   22.000    0.035
   6.000   23.000    0.036
   6.000   24.000    0.038
   6.000   25.000    0.040
   6.000   26.000    0.042
   6.000   27.000    0.044
   6.000   28.000    0.046
   6.000   29.000    0.048
   6.000   30.000    0.050
   6.000   31.000    0.052
   6.000   32.000    0.054
   6.000   33.000    0.056
   6.000   34.000    0.057
   6.000   35.000    0.059
   6.000   36.000    0.061
   6.000   37.000    0.063
   6.000   38.000    0.064
   6.000   39.000    0.066
   6.000   40.000    0.068
   6.000   41.000    0.069
   6.000   42.000    0.070
   6.000   43.000    0.072
   6.000   44.000    0.073
   6.000   45.000    0.074
   6.000   46.000    0.075
   6.000   47.000    0.075
   6.000   48.000    0.076
   6.000   49.000    0.077
   6.000   50.000    0.077
   7.000    1.000    0.002
   7.000    2.000    0.003
   7.000    3.000    0.005
   7.000    4.000    0.007
   7.000    5.000    0.008
   7.000    6.000    0.010
   7.000    7.000    0.012
   7.000    8.000    0.013
   7.000    9.000    0.015
   7.000   10.000    0.017
   7.000   11.000    0.019
   7.000   12.000    0.021
   7.000   13.000    0.022
   7.000   14.000    0.024
   7.000   15.000    0.026
   7.000   16.000    0.028
   7.000   17.000    0.030
   7.000   18.000    0.032
   7.000   19.000    0.034
   7.000   20.000    0.036
   7.000   21.000    0.038
   7.000   22.000    0.040
   7.000   23.000    0.043
   7.000   24.000    0.045
   7.000   25.000    0.047
   7.000   26.000    0.049
   7.000   27.000    0.052
   7.000   28.000    0.054
   7.000   29.000    0.056
   7.000   30.000    0.058
   7.000   31.000    0.061
   7.000   32.000    0.063
   7.000   33.000    0.065
   7.000   34.000    0.067
   7.000   35.000    0.069
   7.000   36.000    0.072
   7.000   37.000    0.074
   7.000   38.000    0.075
   7.000   39.000    0.077
   7.000   40.000    0.079
   7.000   41.000    0.081
   7.000   42.000    0.082
   7.000   43.000    0.084
   7.000   44.000    0.085
   7.000   45.000    0.086
   7.000   46.000    0.087
   7.000   47.000    0.088
   7.000   48.000    0.089
   7.000   49.000    0.090
   7.000   50.000    0.090
   8.000    1.000    0.002
   8.000    2.000    0.004
   8.000    3.000    0.006
   8.000    4.000    0.008
   8.000    5.000    0.009
   8.000    6.000    0.011
   8.000    7.000    0.013
   8.000    8.000    0.015
   8.000    9.000    0.017
   8.000   10.000    0.019
   8.000   11.000    0.021
   8.000   12.000    0.023
   8.000   13.000    0.026
   8.000   14.000    0.028
   8.000   15.000    0.030
   8.000   16.000    0.032
   8.000   17.000    0.034
   8.000   18.000    0.037
   8.000   19.000    0.039
   8.000   20.000    0.041
   8.000   21.000    0.044
   8.000   22.000    0.046
   8.000   23.000    0.049
   8.000   24.000    0.051
   8.000   25.000    0.054
   8.000   26.000    0.056
   8.000   27.000    0.059
   8.000   28.000    0.062
   8.000   29.000    0.064
   8.000   30.000    0.067
   8.000   31.000    0.069
   8.000   32.000    0.072
   8.000   33.000    0.075
   8.000   34.000    0.077
   8.000   35.000    0.080
   8.000   36.000    0.082
   8.000   37.000    0.084
   8.000   38.000    0.087
   8.000   39.000    0.089
   8.000   40.000    0.091
   8.000   41.000    0.093
   8.000   42.000    0.095
   8.000   43.000    0.096
   8.000   44.000    0.098
   8.000   45.000    0.099
   8.000   46.000    0.101
   8.000   47.000    0.102
   8.000   48.000    0.103
   8.000   49.000    0.103
   8.000   50.000    0.104
   9.000    1.000    0.002
   9.000    2.000    0.004
   9.000    3.000    0.006
   9.000    4.000    0.008
   9.000    5.000    0.011
   9.000    6.000    0.013
   9.000    7.000    0.015
   9.000    8.000    0.017
   9.000    9.000    0.019
   9.000   10.000    0.022
   9.000   11.000    0.024
   9.000   12.000    0.026
   9.000   13.000    0.029
   9.000   14.000    0.031
   9.000   15.000    0.034
   9.000   16.000    0.036
   9.000   17.000    0.039
   9.000   18.000    0.041
   9.000   19.000    0.044
   9.000   20.000    0.046
   9.000   21.000    0.049
   9.000   22.000    0.052
   9.000   23.000    0.055
   9.000   24.000    0.058
